Thumbnail,Track Name,Author Time,Top Time,10k Time,Top Time % Difference,10k Time % Difference,Top Time Difference,10k Time Difference,Completed
https://prod.trackmania.core.nadeo.online/storageObjects/8e5869b1-6f22-41c1-a21f-f24a0c9a13fa.jpg,Fall 2022 - 15,41.882,38.614,41.142,1.77,7.8,0.7399999999999949,3.2680000000000007,False
https://prod.trackmania.core.nadeo.online/storageObjects/eccd2759-c265-4497-9cf0-5224f8eaacc5.jpg,Fall 2022 - 16,44.721,41.085,44.023,1.56,8.13,0.6979999999999933,3.6359999999999957,False
https://prod.trackmania.core.nadeo.online/storageObjects/8ef1a4e9-225e-4101-b86c-e76fd8b31eac.jpg,Fall 2022 - 17,53.828,49.281,53.117,1.32,8.45,0.7110000000000056,4.547000000000004,False
https://prod.trackmania.core.nadeo.online/storageObjects/a6003450-3df6-4d23-a03a-a0417c4e2653.jpg,Fall 2022 - 18,57.684,53.964,57.414,0.47,6.45,0.269999999999996,3.719999999999999,False
https://prod.trackmania.core.nadeo.online/storageObjects/08eac0d5-a312-45ef-a627-bec31b625472.jpg,Fall 2022 - 19,56.12,50.94,55.153,1.72,9.23,0.9669999999999987,5.18,False
https://prod.trackmania.core.nadeo.online/storageObjects/abae0641-7bdf-40c3-8f74-839afc0605ac.jpg,Fall 2022 - 20,49.374,45.3,48.952,0.85,8.25,0.42200000000000415,4.074000000000005,False
https://prod.trackmania.core.nadeo.online/storageObjects/459b6718-edf1-4bd2-84c6-5333c13cdbac.jpg,Fall 2022 - 21,62.212,58.771,62.134,0.13,5.53,0.07800000000000296,3.4410000000000025,False
https://prod.trackmania.core.nadeo.online/storageObjects/e02269b4-5098-4951-9764-467a0224299b.jpg,Fall 2022 - 22,64.321,58.415,64.215,0.16,9.18,0.10599999999999454,5.905999999999999,False
https://prod.trackmania.core.nadeo.online/storageObjects/fef9470c-d98c-41ec-9a88-0724bf7d7c0a.jpg,Fall 2022 - 23,62.636,57.614,62.508,0.2,8.02,0.1280000000000001,5.022000000000006,False
https://prod.trackmania.core.nadeo.online/storageObjects/85b5fa0f-dbdd-4f31-a766-ce45d419522d.jpg,Fall 2022 - 24,62.851,56.197,62.208,1.02,10.59,0.6430000000000007,6.653999999999996,False
https://prod.trackmania.core.nadeo.online/storageObjects/2e128b79-76c9-4c81-b3f0-9ab645aa9ece.jpg,Fall 2022 - 25,64.581,59.613,64.643,-0.1,7.69,-0.06199999999999761,4.9680000000000035,False
https://prod.trackmania.core.nadeo.online/storageObjects/3f3b6920-2865-4b55-9880-65f3357ce0f4.jpg,Summer 2022 - 1,16.805,15.634,16.178,3.73,6.97,0.6269999999999989,1.1709999999999994,False
https://prod.trackmania.core.nadeo.online/storageObjects/daa0a8db-7256-4c5d-aeaa-79c5a414bfdc.jpg,Summer 2022 - 2,19.701,17.818,18.446,6.37,9.56,1.254999999999999,1.8829999999999991,False
